element_type,osmid,name,geometry,latitude,longitude
node,5107085722,Pharmacie Ifrane صيدلية إفران,POINT (-5.0015964 34.0144858),34.0144858,-5.0015964
node,5117313022,Pharmacie Al Korachi صيدلية القرشي,POINT (-5.0016602 34.0191247),34.0191247,-5.0016602
node,5119394922,Pharmacie Jabri صيدلية جابري,POINT (-5.0043792 34.0158774),34.0158774,-5.0043792
node,5128231924,Pharmacie L'Opera صيدلية الأوبرا,POINT (-4.9951509 34.0288781),34.0288781,-4.9951509
node,5130402124,Pharmacie Erriad صيدلية الرياض,POINT (-5.0126568 34.0244919),34.0244919,-5.0126568
node,5130442846,Pharmacie Mekouar صيدلية مكوار,POINT (-4.9981453 34.0309569),34.0309569,-4.9981453
node,5142826921,Pharmacie Pasteur صيدلية باستور,POINT (-5.009844 34.0271122),34.0271122,-5.009844
node,5147303621,Pharmacie Arrazi صيدلية الرازي,POINT (-4.9976251 34.0260606),34.0260606,-4.9976251
node,5173841426,Pharmacie Conseil صيدلية النصيحة,POINT (-4.9815219 34.0132483),34.0132483,-4.9815219
node,5183381724,Pharmacie Al Ihssane صيدلية الإحسان,POINT (-4.9792405 34.0101598),34.0101598,-4.9792405
node,5184257351,Pharmacie El Karam صيدلية الكرم,POINT (-4.9870605 34.0698093),34.0698093,-4.9870605
node,5185720525,Pharmacie Blanco صيدلية بلانكو,POINT (-5.0091302 33.9992559),33.9992559,-5.0091302
node,5185876621,Pharmacie El Majd صيدلية المجد,POINT (-4.980803 34.0177335),34.0177335,-4.980803
node,5188283423,Pharmacie Al Ahbab صيدلية الأحباب,POINT (-5.004313 33.9992501),33.9992501,-5.004313
node,5190415822,Pharmacie Taiba صيدلية طيبة,POINT (-5.0066556 34.001416),34.001416,-5.0066556
node,5190427838,Pharmacie Ibn Khaldoun صيدلية ابن خلدون,POINT (-4.9717966 34.0144522),34.0144522,-4.9717966
node,5194917728,Pharmacie C.H.U Hassan II صيدلية الحسن الثاني,POINT (-4.9779753 34.0076473),34.0076473,-4.9779753
node,5201978023,Pharmacie Al Inaya صيدلية العناية,POINT (-4.9775556 34.0166064),34.0166064,-4.9775556
node,5203942033,Pharmacie Al Ikhwa صيدلية الإخوة,POINT (-5.0085257 34.0069752),34.0069752,-5.0085257
node,5203986721,Pharmacie Haoudi صيدلية هاودي,POINT (-4.9851537 34.0196338),34.0196338,-4.9851537
node,5204002337,Pharmacie Najmi صيدلية نجمي,POINT (-5.0053672 34.0067506),34.0067506,-5.0053672
node,5204049521,Pharmacie La Victoire صيدلية النصر,POINT (-4.9862395 34.0178887),34.0178887,-4.9862395
node,5206234024,Pharmacie Fatima Ezzahra صيدلية فاطمة الزهراء,POINT (-5.0014405 34.0046872),34.0046872,-5.0014405
node,5207338425,Pharmacie El Houda صيدلية الهدى,POINT (-4.9894159 34.0171254),34.0171254,-4.9894159
node,5216068021,Pharmacie Bakkali صيدلية البقالي,POINT (-5.0057817 34.0103035),34.0103035,-5.0057817
node,5217881721,Pharmacie Florida صيدلية فلوريدا,POINT (-5.0031474 34.0076467),34.0076467,-5.0031474
node,5217885522,Pharmacie Mont Fleuri صيدلية الجبل,POINT (-4.9860772 34.0152601),34.0152601,-4.9860772
node,5219627522,Pharmacie Al Yousr صيدلية اليسر,POINT (-5.0027424 34.012366),34.012366,-5.0027424
node,5231444736,Pharmacie Al Fadila صيدلية الفضيلة,POINT (-4.988769 34.0114188),34.0114188,-4.988769
node,5239191223,Pharmacie Ryad صيدلية الرياض,POINT (-4.9935021 34.0265672),34.0265672,-4.9935021
node,5239191257,Pharmacie Ghizlane صيدلية غزلان,POINT (-4.9687656 34.0057403),34.0057403,-4.9687656
node,5239191525,Pharmacie l'Entente صيدلية الإتفاق,POINT (-4.9897763 34.0242974),34.0242974,-4.9897763
node,5239191530,Pharmacie Route de Sefrou صيدلية طريق صفرو,POINT (-4.9879182 34.0212182),34.0212182,-4.9879182
node,5239335924,Pharmacie Faculté de Médecine صيدلية كلية الطب,POINT (-4.9652236 34.0076423),34.0076423,-4.9652236
node,5240910822,Pharmacie Fès Shore صيدلية فاس شور,POINT (-4.9616705 34.0093643),34.0093643,-4.9616705
node,5241087321,Pharmacie Nour El Houda صيدلية نور الهدى,POINT (-4.965755 34.0129244),34.0129244,-4.965755
node,5244010021,Pharmacie Champs de Courses صيدلية ملعب الخيل,POINT (-5.0152573 34.036918),34.036918,-5.0152573
node,5244887442,Pharmacie Firdaous صيدلية الفردوس,POINT (-4.9897963 34.0146357),34.0146357,-4.9897963
node,5250338721,Pharmacie de l'Hôpital Universitaire صيدلية المستشفى الجامعي,POINT (-4.9657329 34.0106557),34.0106557,-4.9657329
node,5251848522,Pharmacie Ibn Hazm صيدلية بن حزم,POINT (-4.9695833 34.0091231),34.0091231,-4.9695833
node,5260991734,Pharmacie Yasmine صيدلية ياسمين,POINT (-4.9880887 34.0102284),34.0102284,-4.9880887
node,5263513421,Pharmacie Ben Cheikh صيدلية ابن الشيخ,POINT (-4.9700355 34.0127576),34.0127576,-4.9700355
node,5263754721,Pharmacie Al Wassila صيدلية الوسيلة,POINT (-4.9737192 34.0063267),34.0063267,-4.9737192
node,5269865621,Pharmacie Al Fajr صيدلية الفجر,POINT (-4.9630375 34.0154938),34.0154938,-4.9630375
node,5270743531,Pharmacie Beyrout صيدلية بيروت,POINT (-4.984039 34.0078871),34.0078871,-4.984039
node,5270743624,Pharmacie Lahbabi صيدلية لحبابي,POINT (-4.9892319 34.0044736),34.0044736,-4.9892319
node,5281877223,Pharmacie le Docteur صيدلية الدكتور,POINT (-4.9665089 34.018087),34.018087,-4.9665089
node,5283794728,Pharmacie Mourchid صيدلية مرشد,POINT (-4.9784725 34.0133949),34.0133949,-4.9784725
node,5291622524,Pharmacie Complexe Sportif صيدلية المركب الرياضي,POINT (-4.9699202 34.0171017),34.0171017,-4.9699202
